INFO  - 2013-07-16 10:09:11.693; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-07-16 10:09:11.693; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.693; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-07-16 10:09:11.693; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-07-16 10:09:11.693; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-07-16 10:09:11.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/poi-3.8.jar' to classloader
INFO  - 2013-07-16 10:09:11.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/poi-ooxml-3.8.jar' to classloader
INFO  - 2013-07-16 10:09:11.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - 2013-07-16 10:09:11.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/poi-scratchpad-3.8.jar' to classloader
INFO  - 2013-07-16 10:09:11.694; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/rome-0.9.jar' to classloader
